Date,Close,Open,diff,trend,open1,close2,close3,close4,trend1,trend2,trend3,trend4,diff1,diff2,diff3,diff4,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods,Topic_1_appeared,Topic_-1_appeared,Topic_5_appeared,Topic_2_appeared,Topic_0_appeared,Topic_8_appeared,Topic_28_appeared,Topic_27_appeared,Topic_36_appeared,Topic_7_appeared,Topic_21_appeared,Topic_14_appeared,Topic_24_appeared,Topic_16_appeared,Topic_12_appeared,Topic_15_appeared,Topic_11_appeared,Topic_4_appeared,Topic_23_appeared,Topic_26_appeared,Topic_29_appeared,Topic_10_appeared,Topic_9_appeared,Topic_6_appeared,Topic_38_appeared,Topic_33_appeared,Topic_35_appeared,Topic_19_appeared,Topic_34_appeared,Topic_13_appeared,Topic_3_appeared,Topic_25_appeared,Topic_20_appeared,Topic_31_appeared,Topic_30_appeared,Topic_37_appeared,Topic_32_appeared,Topic_18_appeared,Topic_17_appeared,Topic_22_appeared
2012-07-08,55.7400016784668,56.66999816894531,-1.6410737965898612,0,55.27000045776367,55.08000183105469,57.52000045776367,59.08000183105469,1,0,1,1,1.157950758725818,-0.3437644746433065,4.070924518481611,6.893434669324002,3.0,0.0,0.0,3.0,0.0,0.0,-0.73285,-0.686475,-1.0,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-15,55.90999984741211,55.27000045776367,1.157950758725818,1,55.79999923706055,57.52000045776367,59.08000183105469,59.45000076293945,0,1,1,1,-1.2903179495523371,3.082439505771097,5.878140929822217,6.541221461979328,0.0,1.0,0.0,0.0,1.0,0.0,-0.5719,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-22,55.08000183105469,55.79999923706055,-1.2903179495523371,0,54.290000915527344,59.08000183105469,59.45000076293945,59.54999923706055,1,1,1,1,5.949529356726395,8.822989196445874,9.504512360279426,9.68870553109312,2.0,1.0,1.0,0.0,4.0,0.0,0.2879,-0.098,0.0,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-29,57.52000045776367,54.290000915527344,5.949529356726395,1,57.2400016784668,59.45000076293945,59.54999923706055,58.900001525878906,1,1,1,1,3.2145354623217686,3.8609346954370185,4.035635029449609,2.900069529586662,3.0,2.0,0.0,2.0,3.0,0.0,-0.0420624999999999,-0.2268875,-0.375,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-05,59.08000183105469,57.2400016784668,3.2145354623217686,1,58.66999816894531,59.54999923706055,58.900001525878906,57.849998474121094,1,1,1,0,1.329474379303807,1.4999166449284616,0.3920289144568903,-1.397647384380274,1.0,0.0,1.0,1.0,0.0,1.0,-0.24695,0.0443999999999999,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-12,59.45000076293945,58.66999816894531,1.329474379303807,1,58.709999084472656,58.900001525878906,57.849998474121094,58.880001068115234,1,1,0,1,1.4307616516554331,0.32362875893231097,-1.4648281787812385,0.2895622318065058,0.0,1.0,0.0,0.0,1.0,0.0,0.34,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-19,59.54999923706055,58.709999084472656,1.4307616516554331,1,59.75,57.849998474121094,58.880001068115234,58.97999954223633,0,0,0,0,-1.4225915884871863,-3.17991887176386,-1.456065157966135,-1.2887036950019612,1.0,0.0,2.0,0.0,2.0,1.0,-0.1734333333333333,0.0962,0.3333333333333333,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-26,58.900001525878906,59.75,-1.4225915884871863,0,59.0099983215332,58.880001068115234,58.97999954223633,59.279998779296875,0,0,0,1,-1.9657683111453617,-0.22029699562037056,-0.0508367736826866,0.4575503566234583,3.0,0.0,0.0,2.0,0.0,1.0,-0.6781,-0.7026,-0.3333333333333333,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-02,57.849998474121094,59.0099983215332,-1.9657683111453617,0,57.810001373291016,58.97999954223633,59.279998779296875,58.93000030517578,1,1,1,1,1.8508902774712142,2.0238680870986228,2.542808114661311,1.9373791822849187,0.0,0.0,1.0,0.0,0.0,1.0,0.0516,0.4019,1.0,-0.1765795833333333,-0.15326625,-0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-09,58.880001068115234,57.810001373291016,1.8508902774712142,1,58.7599983215332,59.279998779296875,58.93000030517578,59.5099983215332,1,1,1,1,0.374406444839028,0.8849565565305886,0.2893158415565835,1.276378525227348,2.0,0.0,4.0,1.0,4.0,1.0,0.0625,0.1375375,0.0,-0.1703295833333333,-0.1033925,-0.0375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
