,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Title,Link,Headline,Article,Source
3522,3522.0,3522.0,3522.0,3522.0,3522.0,3522.0,3522.0,3522.0,3522.0,3522.0,3522.0,2014-03-05,Senator joins critics of Ecopetrol for Barrancabermeja refinery delays,https://hydrocarbonscolombia.com/article/senator-joins-critics-of-ecopetrol-for-barrancabermeja-refinery-delays/,Colombian senator Jaíme Durán of the Liberal party has called on the leadership of Ecopetrol (NYSE:EC) to explain to the country in detail why the Barrancabermeja project continues to suffer delays.,Colombian senator Jaíme Durán of the Liberal party has called on the leadership of Ecopetrol (NYSE:EC) to explain to the country in detail why the Barrancabermeja project continues to suffer delays.,Hydrocarbons
3523,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0,3523.0,2014-03-05,Mansarovar abandons seismic project after community uproar,https://hydrocarbonscolombia.com/article/mansarovar-abandons-seismic-project-after-community-uproar/,Mansarovar Energy has abandoned a seismic exploration project near the Villavicencio municipality after opposition from local authorities and community members.,Mansarovar Energy has abandoned a seismic exploration project near the Villavicencio municipality after opposition from local authorities and community members.,Hydrocarbons
3524,3524.0,3524.0,3524.0,3524.0,3524.0,3524.0,3524.0,3524.0,3524.0,3524.0,3524.0,2014-03-04,"Oil prices, dollar exchange pushing gas prices higher",https://hydrocarbonscolombia.com/article/oil-prices-dollar-exchange-pushing-gas-prices-higher/,Increases in the WTI oil price and a general trend towards a stronger dollar against the Colombian peso amounts to an increase in gasoline prices this month. Although the government no doubt did what it could to keep them down as the election season heats up.,Increases in the WTI oil price and a general trend towards a stronger dollar against the Colombian peso amounts to an increase in gasoline prices this month. Although the government no doubt did what it could to keep them down as the election season heats up.,Hydrocarbons
3525,3525.0,3525.0,3525.0,3525.0,3525.0,3525.0,3525.0,3525.0,3525.0,3525.0,3525.0,2014-03-04,"UPDATED: Perenco, Ecopetrol suffer oil spills",https://hydrocarbonscolombia.com/article/updated-perenco-ecopetrol-suffer-oil-spills/,"Two reports of oil spill have reached local press over the last couple of days, one involving a Perenco owned pipeline in Casanare and the other involving Ecopetrol (NYSE:EC) in Meta.","Two reports of oil spill have reached local press over the last couple of days, one involving a Perenco owned pipeline in Casanare and the other involving Ecopetrol (NYSE:EC) in Meta.",Hydrocarbons
3526,3526.0,3526.0,3526.0,3526.0,3526.0,3526.0,3526.0,3526.0,3526.0,3526.0,3526.0,2014-03-03,USO calls for action on Barrancabermeja Refinery,https://hydrocarbonscolombia.com/article/uso-calls-for-action-on-barrancabermeja-refinery/,"The USO says that Ecopetrol (NYSE:EC) continues to hedge and refuse to progress on the modernization of the Barrancabermeja Refinery, with the union saying that it is a must to have a “competitive” and modern refining facility.","The USO says that Ecopetrol (NYSE:EC) continues to hedge and refuse to progress on the modernization of the Barrancabermeja Refinery, with the union saying that it is a must to have a “competitive” and modern refining facility.",Hydrocarbons
3527,3527.0,3527.0,3527.0,3527.0,3527.0,3527.0,3527.0,3527.0,3527.0,3527.0,3527.0,2014-02-27,Ecopetrol looks to prove 2014 will bring growth,https://hydrocarbonscolombia.com/article/ecopetrol-looks-to-prove-2014-will-bring-growth/,Company officials held a call to discuss the end of year 2013 results and convince the market that its continued growth over the last five years is sustainable going forward despite operational complexities.,Company officials held a call to discuss the end of year 2013 results and convince the market that its continued growth over the last five years is sustainable going forward despite operational complexities.,Hydrocarbons
3528,3528.0,3528.0,3528.0,3528.0,3528.0,3528.0,3528.0,3528.0,3528.0,3528.0,3528.0,2014-02-26,"Transportation and community issues cut into Ecopetrol production, profits",https://hydrocarbonscolombia.com/article/transportation-and-community-issues-cut-into-ecopetrol-production-profits/,"Ecopetrol (NYSE:EC) saw its production grow 4.5% in full year 2013 to reach 788.2mboed, a number which the NOC said suffered due to transport restrictions and blockades in some communities. The company’s net income fell in the same period by 10.8% to CoP$13.35T.","Ecopetrol (NYSE:EC) saw its production grow 4.5% in full year 2013 to reach 788.2mboed, a number which the NOC said suffered due to transport restrictions and blockades in some communities. The company’s net income fell in the same period by 10.8% to CoP$13.35T.",Hydrocarbons
3529,3529.0,3529.0,3529.0,3529.0,3529.0,3529.0,3529.0,3529.0,3529.0,3529.0,3529.0,2014-02-25,Pacific Rubiales reports 2013 reserves,https://hydrocarbonscolombia.com/article/pacific-rubiales-reports-2013-reserves/,"Pacific Rubiales reported its 2013 Colombian 2P reserves which increased 97mmboe or 22%. The graph shows the Petrominerales acquisition was critical to this, contributing 89 of the 97mmboe.","Pacific Rubiales reported its 2013 Colombian 2P reserves which increased 97mmboe or 22%. The graph shows the Petrominerales acquisition was critical to this, contributing 89 of the 97mmboe.",Hydrocarbons
3530,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,2014-02-25,High court rules subsoil out of referendum’s reach,https://hydrocarbonscolombia.com/article/high-court-rules-subsoil-out-of-referendums-reach/,"Colombia’s Council of State has ruled that a municipal public referendum involving Colombian subsoil exceeds the power of that entity, after Ecopetrol (NYSE:EC) challenged a decision by a Casanare tribunal to accept a referendum from the Monterrey municipality.","Colombia’s Council of State has ruled that a municipal public referendum involving Colombian subsoil exceeds the power of that entity, after Ecopetrol (NYSE:EC) challenged a decision by a Casanare tribunal to accept a referendum from the Monterrey municipality.",Hydrocarbons
3531,3531.0,3531.0,3531.0,3531.0,3531.0,3531.0,3531.0,3531.0,3531.0,3531.0,3531.0,2014-02-25,Acacias dispute leads to terminated contracts,https://hydrocarbonscolombia.com/article/acacias-dispute-leads-to-terminated-contracts/,"The continued conflicts in the municipality of Acacias and Castilla La Nueva have led to blockades, riots with police and now Ecopetrol (NYSE:EC) has terminated 45 contracts associated with projects in the area.","The continued conflicts in the municipality of Acacias and Castilla La Nueva have led to blockades, riots with police and now Ecopetrol (NYSE:EC) has terminated 45 contracts associated with projects in the area.",Hydrocarbons
